"","Sample","Timepoint","Replicate","variable","value","Mean_ODnorm","SD_ODnorm","SE_ODnorm","col_fac"
"103","△TRP4-△TRP2 10:1","24h","rep1","Glucose_pOD",18.0135809166629,21.4311393360428,3.15770340135247,1.82310090879185,"Trp2 Trp4"
"104","△TRP4-△TRP2 10:1","24h","rep2","Glucose_pOD",24.2405145699428,21.4311393360428,3.15770340135247,1.82310090879185,"Trp2 Trp4"
"105","△TRP4-△TRP2 10:1","24h","rep3","Glucose_pOD",22.0393225215228,21.4311393360428,3.15770340135247,1.82310090879185,"Trp2 Trp4"
"106","△TRP4-△TRP2 10:1","48h","rep1","Glucose_pOD",0,0,0,0,"Trp2 Trp4"
"107","△TRP4-△TRP2 10:1","48h","rep2","Glucose_pOD",0,0,0,0,"Trp2 Trp4"
"108","△TRP4-△TRP2 10:1","48h","rep3","Glucose_pOD",0,0,0,0,"Trp2 Trp4"
"109","BY-BY 1:1","24h","rep1","Glucose_pOD",0.0422186713553859,0.0475716236359047,0.0196158672185579,0.0113252262190223,"WT"
"110","BY-BY 1:1","24h","rep2","Glucose_pOD",0.0311878879948653,0.0475716236359047,0.0196158672185579,0.0113252262190223,"WT"
"111","BY-BY 1:1","24h","rep3","Glucose_pOD",0.0693083115574628,0.0475716236359047,0.0196158672185579,0.0113252262190223,"WT"
"112","BY-BY 1:1","48h","rep1","Glucose_pOD",0,0,0,0,"WT"
"113","BY-BY 1:1","48h","rep2","Glucose_pOD",0,0,0,0,"WT"
"114","BY-BY 1:1","48h","rep3","Glucose_pOD",0,0,0,0,"WT"
"115","BY-BY 1:10","24h","rep1","Glucose_pOD",0.0826704781131351,0.0494960579380601,0.0287299129305529,0.0165872229642492,"WT"
"116","BY-BY 1:10","24h","rep2","Glucose_pOD",0.0329446463538022,0.0494960579380601,0.0287299129305529,0.0165872229642492,"WT"
"117","BY-BY 1:10","24h","rep3","Glucose_pOD",0.0328730493472431,0.0494960579380601,0.0287299129305529,0.0165872229642492,"WT"
"118","BY-BY 1:10","48h","rep1","Glucose_pOD",0,0,0,0,"WT"
"119","BY-BY 1:10","48h","rep2","Glucose_pOD",0,0,0,0,"WT"
"120","BY-BY 1:10","48h","rep3","Glucose_pOD",0,0,0,0,"WT"
"121","BY-BY 10:1","24h","rep1","Glucose_pOD",0.0389953720432613,0.0553862917559029,0.0165293196863379,0.00954320717042859,"WT"
"122","BY-BY 10:1","24h","rep2","Glucose_pOD",0.0720506194541174,0.0553862917559029,0.0165293196863379,0.00954320717042859,"WT"
"123","BY-BY 10:1","24h","rep3","Glucose_pOD",0.05511288377033,0.0553862917559029,0.0165293196863379,0.00954320717042859,"WT"
"124","BY-BY 10:1","48h","rep1","Glucose_pOD",0,0,0,0,"WT"
"125","BY-BY 10:1","48h","rep2","Glucose_pOD",0,0,0,0,"WT"
"126","BY-BY 10:1","48h","rep3","Glucose_pOD",0,0,0,0,"WT"
"127","RLAs879","24h","rep1","Glucose_pOD",2.45267082813816,5.75724315110752,3.02723906896719,1.74777729136956,"WT"
"128","RLAs879","24h","rep2","Glucose_pOD",6.42260089452936,5.75724315110752,3.02723906896719,1.74777729136956,"WT"
"129","RLAs879","24h","rep3","Glucose_pOD",8.39645773065505,5.75724315110752,3.02723906896719,1.74777729136956,"WT"
"130","RLAs879","48h","rep1","Glucose_pOD",0.0311462516538742,0.0335560383271454,0.00212611623073466,0.00122751377814309,"WT"
"131","RLAs879","48h","rep2","Glucose_pOD",0.0351672152698826,0.0335560383271454,0.00212611623073466,0.00122751377814309,"WT"
"132","RLAs879","48h","rep3","Glucose_pOD",0.0343546480576794,0.0335560383271454,0.00212611623073466,0.00122751377814309,"WT"
"133","△HIS2-△MET3 1:10","24h","rep1","bAlanine_pOD",2.72177777777778,2.80278824476651,0.820797292214899,0.473887537610388,"His2 Met3"
"134","△HIS2-△MET3 1:10","24h","rep2","bAlanine_pOD",3.66108695652174,2.80278824476651,0.820797292214899,0.473887537610388,"His2 Met3"
"135","△HIS2-△MET3 1:10","24h","rep3","bAlanine_pOD",2.0255,2.80278824476651,0.820797292214899,0.473887537610388,"His2 Met3"
"136","△HIS2-△MET3 1:10","48h","rep1","bAlanine_pOD",1.56742647058824,2.35120407055881,1.03911568718512,0.599933721715491,"His2 Met3"
"137","△HIS2-△MET3 1:10","48h","rep2","bAlanine_pOD",3.52987804878049,2.35120407055881,1.03911568718512,0.599933721715491,"His2 Met3"
"138","△HIS2-△MET3 1:10","48h","rep3","bAlanine_pOD",1.95630769230769,2.35120407055881,1.03911568718512,0.599933721715491,"His2 Met3"
"139","△HIS2-△MET3 20:1","24h","rep1","bAlanine_pOD",2.62879432624114,3.89687696179364,1.3741456652596,0.793363369743388,"His2 Met3"
"140","△HIS2-△MET3 20:1","24h","rep2","bAlanine_pOD",5.35690322580645,3.89687696179364,1.3741456652596,0.793363369743388,"His2 Met3"
"141","△HIS2-△MET3 20:1","24h","rep3","bAlanine_pOD",3.70493333333333,3.89687696179364,1.3741456652596,0.793363369743388,"His2 Met3"
